Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA
E0,10/08/2025,Arsenal,Wolves,3,0,H,1.40,5.00,8.00,1.36,5.20,8.50
E0,10/08/2025,Chelsea,Palace,2,1,H,1.95,3.70,4.00,1.88,3.75,4.20
E0,11/08/2025,Everton,Brentford,1,1,D,2.60,3.30,2.80,2.55,3.40,2.85
E0,11/08/2025,Newcastle,Villa,0,2,A,2.10,3.50,3.60,2.05,3.55,3.70
E0,12/08/2025,Spurs,Fulham,2,2,D,1.75,3.90,4.80,1.70,4.00,5.00
E0,12/08/2025,United,Brighton,1,2,A,2.00,3.60,3.80,1.95,3.65,3.95
E0,13/08/2025,Forest,Bournemouth,3,1,H,2.45,3.40,2.90,2.40,3.45,2.95
E0,13/08/2025,Leeds,Burnley,0,0,D,1.85,3.60,4.50,1.80,3.70,4.70
E0,14/08/2025,Liverpool,Sunderland,4,0,H,1.30,5.50,9.50,1.28,5.60,10.0
E0,14/08/2025,WestHam,Everton,1,1,D,2.30,3.40,3.20,2.25,3.45,3.30
